30.675,-15.824,58.323,-80.287,-16.331,10.054,21.93,-54.423,-40.697,-73.4
40.866,-40.99,-21.175,-67.814,-22.987,-15.025,82.587,-10.204,30.68,84.033
61.399,4.3999,-17.347,-69.442,3.318,74.021,-14.167,-80.701,3.1836,33.884
93.14,8.5551,15.545,-40.443,30.969,31.802,-21.726,-72.788,41.366,-23.121
-27.144,62.491,-5.8957,-109.98,-12.01,-10.966,55.763,6.9266,-78.475,23.649
-80.785,-30.842,43.802,4.1845,-22.89,4.5584,-49.976,64.227,88.545,-33.5
70.523,-58.193,26.411,-48.538,-21.563,44.635,30.661,-77.468,0.90658,22.588
-26.906,-97.512,45.697,32.55,-5.0876,16.266,-56.286,91.713,56.103,7.6281
-53.43,-54.495,-16.612,-21.276,6.6967,14.426,-55.749,95.872,83.662,-6.4712
28.851,-55.669,20.116,57.713,5.3399,-27.055,139.51,-3.7509,-6.8582,-44.394
76.751,73.071,49.194,-10.146,66.779,-0.40767,-48.8,5.5232,-62.195,-21.984
6.5745,80.301,-94.75,80.242,39.57,-26.206,-27.454,-11.475,-47.775,-23.344
-84.066,-58.228,8.7926,-10.35,18.597,13.884,-68.046,44.561,81.747,-2.6877
17.615,106.31,-3.706,45.789,26.375,-67.794,-81.283,9.4581,-12.51,-24.125
41.605,28.627,57.119,-91.319,48.924,-61.951,-56.378,-0.9966,15.309,-23.183
-1.341,28.364,9.0255,-85.167,-100.5,-6.4755,7.8694,-51.435,-2.0613,28.984
5.4094,-64.585,-70.031,9.6784,43.425,33.508,-20.794,121.75,-38.88,2.4352
-100.17,-3.4001,57.808,33.951,27.243,72.803,3.995,65.808,-57.896,33.63
60.473,-32.083,-6.1352,-20.297,-59.037,6.1359,53.598,-50.518,-46.572,43.826
51.952,62.727,16.28,125.22,-17.178,-43.428,-68.904,1.8278,-11.925,16.485
15.022,-51.421,26.484,-12.003,-55.344,-60.096,52.707,-76.995,-16.158,27.903
23.8,20.223,-21.114,-33.192,-0.10506,-35.083,110.93,-23.46,17.843,65.928
103.06,31.764,11.242,1.67,-37.027,28.589,76.791,9.1791,44.246,-38.866
38.07,-22.629,42.119,-66.301,15.256,41.2,-32.535,-94.22,-63.109,-14.175
-56.28,-23.897,-122.43,45.675,7.4639,32.907,-17.018,20.992,-19.951,-48.171
-67.133,-15.716,-127.78,0.13532,-8.4577,3.615,7.146,-20.097,-9.3578,-79.876
-73.511,-25.901,11.418,36.696,-7.2368,36.221,-34.875,15.796,130.39,-20.309
100.99,21.086,47.311,-9.4343,-9.3558,51.411,-51.849,-45.946,-26.418,-25.893
-26.919,30.496,-99.626,76.333,0.89082,-37.277,-62.342,-38.684,38.481,-34.94
-26.596,-54.539,-117.45,7.2626,29.62,10.651,-47.729,30.081,19.179,-50.923
89.96,60.769,37.376,2.2943,-7.6744,14.448,-58.261,-34.207,-11.525,-56.376
-7.0372,14.279,14.334,-53.912,58.123,-42.743,109.1,-56.625,43.176,-20.705
-92.485,-10.214,40.667,23.794,-15.26,61.366,-12.221,57.945,93.552,-17.487
-27.169,-52.643,-14.693,-43.196,11.789,-19.67,-60.377,101.18,69.293,-46.203
90.804,36.459,15.064,-25.416,-18.577,87.125,10.281,-42.106,-23.887,-30.95
-97.001,70.714,42.98,39.66,4.4796,91.935,32.967,51.374,32.583,3.8818
-69.418,-43.055,-111.93,47.209,25.45,12.406,-21.273,-56.009,-17.924,-50.041
0.74545,-30.674,34.286,22.805,110.08,-90.44,91.53,3.1095,16.143,6.963
60.291,11.888,-2.4304,-47.13,-96.108,78.993,16.2,-33.764,-13.22,19.117
47.306,-4.4807,-11.426,-40.571,-72.416,38.372,12.068,-68.727,7.9223,80.729
32.334,18.957,2.0564,2.157,-34.203,-58.226,115.62,34.905,16.699,55.82
44.185,-31.069,26.664,-41.158,-20.758,-39.049,16.526,-41.226,-41.342,96.406
-27.645,-81.955,-29.435,-2.5722,-21.755,-32.26,-57.03,117.52,-37.509,-7.3381
107.16,0.51422,10.557,8.6154,54.351,29.174,49.095,16.624,14.121,76.057
18.66,0.19936,9.7565,0.87513,20.277,-72.227,136.99,16.137,16.638,19.997
82.099,-3.6981,68.369,-2.1919,-75.835,29.919,-22.654,8.3175,-51.47,-70.049
33.607,69.828,63.211,-80.593,27.476,7.6353,-29.364,-37.703,-27.694,-60.218
47.774,21.388,19.966,6.3089,-95.487,-50.262,21.295,-14.017,2.0023,73.224
9.9235,-4.1539,0.080836,-17.517,-63.493,-45.332,124.15,-16.062,5.691,31.479
-116.22,-1.2772,6.802,37.651,3.6713,70.677,-5.6359,22.526,61.893,-25.457
-35.815,-103.66,-82.05,5.3612,5.6936,-1.7345,-31.795,58.36,-59.339,-39.379
-63.979,22.649,-89.216,37.176,-23.894,-78.263,-42.537,-29.235,-8.6458,-73.019
-104.92,18.298,49.126,53.2,14.958,94.489,23.552,46.205,-32.668,12.217
-116.22,4.2759,78.8,34.43,49.579,53.348,-13.512,0.47796,-40.47,59.585
