23,37,56,19
41,43,25,19
2,43,26,21
2,51,26,22
21,51,29,22
48,52,26,22
48,25,25,61
40,25,30,61
42,51,62,2
40,62,26,19
48,30,37,19
16,58,25,7
63,37,25,7
63,25,25,28
41,30,30,28
21,30,25,15
48,30,25,21
5,30,25,4
16,58,25,4
7,58,27,3
19,30,33,23
42,30,50,2
42,30,50,40
2,30,50,22
22,25,33,22
22,58,6,22
22,58,6,22
49,58,33,22
45,17,27,45
41,43,27,45
41,43,27,63
41,17,33,5
41,17,33,63
48,9,33,5
48,9,33,1
48,8,33,1
63,8,6,19
16,8,43,16
16,58,8,46
16,17,13,46
16,58,17,31
63,6,34,28
23,58,9,31
22,58,6,31
49,58,58,31
49,58,52,31
49,58,29,31
32,58,29,31
45,58,30,31
23,18,12,28
10,18,52,35
10,18,52,28
48,53,52,28
49,53,52,46
49,53,29,31
49,18,29,11
49,18,56,31
49,18,64,57
21,53,25,31
48,18,25,31
63,53,25,47
63,53,37,24
45,53,29,3
32,53,26,3
2,53,30,7
38,53,30,4
38,59,30,3
45,53,8,3
45,53,43,24
45,59,8,24
45,59,6,28
45,50,6,31
45,50,6,57
45,59,6,31
45,59,13,31
45,59,9,31
45,59,34,47
45,53,34,47
45,53,62,47
45,53,17,47
60,59,58,47
10,53,9,1
21,53,9,24
49,36,9,11
38,36,34,28
45,36,58,15
45,36,62,11
38,50,43,7
38,50,43,24
38,50,43,24
38,53,43,24
38,53,43,24
38,53,43,24
38,53,43,24
38,59,34,28
60,50,34,28
60,25,34,28
41,58,58,31
32,17,9,31
10,37,33,31
38,62,33,31
60,62,33,11
60,30,33,11
32,30,27,11
32,30,6,31
60,30,6,31
38,37,6,28
38,37,6,28
60,62,6,47
60,30,6,24
60,30,6,39
60,58,8,7
60,37,8,40
60,25,27,42
60,30,6,42
60,25,50,42
60,25,50,19
60,25,33,44
60,25,33,44
60,25,27,11
60,25,6,15
60,25,6,23
60,58,13,11
60,58,9,57
60,58,33,11
42,30,6,11
21,50,9,11
21,36,51,11
21,36,51,11
10,53,8,28
61,53,58,28
45,53,58,28
2,36,9,47
2,59,58,4
19,59,58,4
19,53,62,3
42,59,62,57
42,53,13,31
42,53,13,31
21,53,13,46
48,53,34,23
22,53,34,44
49,53,9,31
49,53,9,31
21,50,34,28
19,53,34,28
48,33,34,28
7,50,13,28
16,8,13,28
40,50,9,28
40,6,9,4
40,9,8,35
7,33,9,35
40,33,34,39
40,33,34,23
48,33,34,44
21,27,34,47
49,6,34,35
49,13,34,35
22,13,34,35
32,13,34,39
32,13,34,39
5,13,9,16
16,13,13,40
16,9,50,7
7,13,33,19
7,6,27,21
7,6,6,2
40,13,13,39
39,13,9,35
39,13,27,35
16,9,27,35
16,9,27,46
16,9,36,46
40,9,27,35
19,62,33,35
19,34,50,28
19,58,50,4
2,58,13,35
49,58,33,3
63,62,33,3
