15.408,-9.1532,-44.966,56.414,95.83,5.1347,-1.4612,-18.491,-93.993,-29.552,0
82.85,-9.4943,-9.4897,-14.439,101.25,30.848,27.318,-61.903,7.7577,-31.356,0
84.559,65.987,-32.331,-27.043,5.7252,9.8335,1.964,-72.016,-26.834,-64.359,0
84.559,65.987,-32.331,-27.043,5.7252,9.8335,1.964,-72.016,-26.834,-64.359,0
44.894,88.628,-50.765,-11.09,19.128,-0.44823,37.33,-80.247,-5.9822,22.191,0
70.881,25.809,-6.3542,9.173,73.213,-25.348,60.295,15.391,56.236,-53.013,0
70.881,25.809,-6.3542,9.173,73.213,-25.348,60.295,15.391,56.236,-53.013,0
78.988,27.217,-59.678,41.553,-11.308,38.024,28.783,1.9921,-6.5783,-81.25,0
30.84,69.159,-56.928,-33.178,21.638,-11.993,74.012,-18.894,23.436,-40.941,0
78.988,27.217,-59.678,41.553,-11.308,38.024,28.783,1.9921,-6.5783,-81.25,0
70.881,25.809,-6.3542,9.173,73.213,-25.348,60.295,15.391,56.236,-53.013,0
59.247,17.18,-77.523,76.334,-19.204,-35.59,27.432,-24.059,37.144,-44.027,0
4.0346,22.059,-74.074,25.236,16.396,-5.0585,-7.6354,-88.671,62.7,-61.572,0
4.0346,22.059,-74.074,25.236,16.396,-5.0585,-7.6354,-88.671,62.7,-61.572,0
82.85,-9.4943,-9.4897,-14.439,101.25,30.848,27.318,-61.903,7.7577,-31.356,0
44.894,88.628,-50.765,-11.09,19.128,-0.44823,37.33,-80.247,-5.9822,22.191,0
70.881,25.809,-6.3542,9.173,73.213,-25.348,60.295,15.391,56.236,-53.013,0
11.984,-4.3723,-100.78,76.034,52.599,-46.84,-5.7239,-44.472,36.951,57.249,0
59.247,17.18,-77.523,76.334,-19.204,-35.59,27.432,-24.059,37.144,-44.027,0
-1.9284,19.433,-82.204,27.702,-7.37,78.289,14.131,-29.13,-26.846,-70.403,0
42.473,55.985,-47.264,32.002,1.5146,55.273,72.238,0.8404,3.2453,-29.345,0
30.84,69.159,-56.928,-33.178,21.638,-11.993,74.012,-18.894,23.436,-40.941,0
30.84,69.159,-56.928,-33.178,21.638,-11.993,74.012,-18.894,23.436,-40.941,0
